Model,Parameters,FLOPS,ns,nr
"Model_GRU(
  (rnn): GRU(1, 6, batch_first=True)
  (fc): Linear(in_features=6, out_features=1, bias=True)
)",169,20406.0,"[0.99756073 0.99462366 0.99357826 0.99278176 0.99243329 0.99173636
 0.99128833 0.99079052 0.99029271 0.98969534 0.98924731 0.98884906
 0.98855038 0.98845082 0.98830147 0.98805257 0.98790323 0.98760454
 0.98735564 0.98680804 0.98660892 0.98645958 0.9864098  0.98611111
 0.98596177 0.98581243 0.98556352 0.98546396 0.98521505 0.98511549
 0.98496615 0.98496615 0.98481681 0.98466746 0.98461768 0.9845679
 0.98436878 0.98407009 0.98382119 0.98382119 0.98362206 0.9835225
 0.98332338 0.98312425 0.98282557 0.9824771  0.98242732 0.98232776
 0.98207885 0.98178017 0.98153126 0.98128236 0.98093389 0.98073477
 0.98058542 0.9803863  0.98028674 0.98003783 0.97988849 0.97968937
 0.9793409  0.97879331 0.97834528 0.97794703 0.97774791 0.97754879
 0.97744922 0.97729988 0.97700119 0.97650339 0.97600558 0.97575667
 0.97535842 0.97525886 0.97510952 0.97496018 0.97456193 0.97421346
 0.97356631 0.97311828 0.97281959 0.97212266 0.97167463 0.97132616
 0.97057945 0.9701812  0.96983274 0.96903624 0.96814018 0.96729391
 0.96639785 0.96515333 0.96351055 0.96206691 0.96022501 0.9578853
 0.95415173 0.94947232 0.94076065 0.88401035]","[0.44042331 1.3216185  1.53158034 1.65545292 1.74642419 1.82262611
 1.88741163 1.93366624 1.98649295 2.02081642 2.05643428 2.09164342
 2.12849779 2.15978455 2.18844163 2.22394962 2.25343653 2.27677339
 2.30216146 2.32527959 2.34246614 2.3628593  2.3816333  2.4030843
 2.42565013 2.43540997 2.46186231 2.48336642 2.50137085 2.51656978
 2.5372834  2.55511618 2.57507196 2.58610226 2.60319146 2.61947016
 2.63015633 2.64749888 2.66056136 2.68616569 2.70595064 2.7209278
 2.74040615 2.75664335 2.76499543 2.77783265 2.79556142 2.82359014
 2.83334998 2.85614618 2.87474266 2.8998857  2.91154531 2.94214208
 2.96159135 2.97505893 2.98544096 2.99607728 3.01067678 3.01816481
 3.0219578  3.05355678 3.08763657 3.09209091 3.11982125 3.13437997
 3.15458336 3.20963093 3.22153015 3.2276043  3.24001356 3.27268267
 3.31543465 3.35458678 3.37129247 3.37129247 3.38866657 3.42565013
 3.43540997 3.45561336 3.52256015 3.5347946  3.57371267 3.61646465
 3.6638893  3.68092264 3.73643997 3.77783265 3.90277139 3.96491929
 4.03746996 4.12462014 4.23376461 4.47680266 4.60174139 4.60174139
 4.60174139 4.77783265 5.07886265 5.07886265]"
"Model_GRU(
  (rnn): GRU(1, 2, batch_first=True)
  (fc): Linear(in_features=2, out_features=1, bias=True)
)",33,4402.0,"[0.997610513739546, 0.9937275985663082, 0.9919852648347272, 0.9909398645957785, 0.9899442453205894, 0.989247311827957, 0.9885005973715651, 0.9876045400238949, 0.9872560732775787, 0.9871067303863003, 0.9866089207487057, 0.9862604540023895, 0.9861111111111112, 0.9857128634010355, 0.9854141776184787, 0.985115491835922, 0.9849661489446435, 0.9848665870171247, 0.9846674631620869, 0.9844185583432895, 0.9842194344882517, 0.9842194344882517, 0.983821186778176, 0.9836718438868977, 0.9835722819593787, 0.9833731581043409, 0.983174034249303, 0.9830246913580247, 0.982726005575468, 0.9825268817204301, 0.9822779769016328, 0.9820290720828355, 0.9819295101553166, 0.9816308243727598, 0.9814814814814815, 0.9812325766626842, 0.9809338908801274, 0.9806849860613301, 0.9806352050975707, 0.9805854241338112, 0.9803863002787734, 0.980336519315014, 0.9801871764237355, 0.9798884906411788, 0.9796395858223815, 0.9791417761847869, 0.9789924332935086, 0.9786937475109518, 0.9782954998008762, 0.9782457188371166, 0.9777479091995221, 0.9775487853444843, 0.977299880525687, 0.9771505376344086, 0.9768518518518519, 0.9766029470330546, 0.9763540422142573, 0.9762046993229789, 0.97610513739546, 0.9758562325766627, 0.9756571087216248, 0.9755077658303465, 0.9753086419753086, 0.9752090800477897, 0.9748606133014736, 0.9747610513739546, 0.9746117084826762, 0.9745619275189168, 0.9742134607726005, 0.9739147749900438, 0.9736658701712465, 0.9732676224611708, 0.9730187176423736, 0.9727200318598168, 0.97242134607726, 0.971873755475906, 0.9715252887295898, 0.9711270410195142, 0.9706292313819196, 0.9704798884906412, 0.970131421744325, 0.9695340501792115, 0.9693847072879331, 0.9686877737953007, 0.9680904022301872, 0.9674432497013142, 0.9669952210274791, 0.9663480684986061, 0.9658004778972521, 0.9648048586220629, 0.9641079251294306, 0.9630625248904818, 0.961768219832736, 0.96047391477499, 0.9590302668259657, 0.9573377140581442, 0.9545499800876145, 0.9501692552767822, 0.9421545201115094, 0.8882417363600159]","[0.35356370353511146, 1.2227986932603798, 1.4361014433281591, 1.5598226079451347, 1.6486262931819686, 1.7160033436347981, 1.772866763822676, 1.8142809173554035, 1.8587545585534255, 1.89473929235381, 1.925657746509196, 1.9579598289789544, 1.9921469826485976, 2.01104813543164, 2.03550036857235, 2.0551987283956885, 2.080603308169781, 2.0997697459551503, 2.112720913854445, 2.128497792217356, 2.14588182467028, 2.1634628113812093, 2.1834401005540682, 2.1991934409614236, 2.2143515655350887, 2.2325255344636736, 2.247632952726414, 2.271327618524622, 2.2850722619026613, 2.299988174590744, 2.3131940918344682, 2.3268141987740423, 2.3432637468952944, 2.3578769024397443, 2.370441746458764, 2.3842574476599108, 2.394915515841966, 2.4104767299034786, 2.4208512499363675, 2.4334403772443847, 2.4474188775803123, 2.460814549881388, 2.4660787898737473, 2.4768026552655242, 2.4866858891976116, 2.497937670917863, 2.5094887369784407, 2.521355444687817, 2.5298593845676995, 2.5410435515202043, 2.556418413087157, 2.565645046525534, 2.576435526609051, 2.587500952759204, 2.6017413918738193, 2.6149696576075634, 2.6286135382741183, 2.6426999995527325, 2.655616772656672, 2.658906898103715, 2.6740289299735442, 2.687927539490094, 2.707794784321739, 2.7152506667013383, 2.738418531753362, 2.7484488732442935, 2.76499542622432, 2.78219745633196, 2.7910609166632443, 2.804704797329789, 2.8164115568630432, 2.8211840717243093, 2.8383133983108872, 2.850975941979818, 2.880205559639073, 2.899885699300319, 2.911545311845285, 2.92964353393812, 2.945323738223246, 2.9819526335854096, 2.999681400545847, 3.0219577952569967, 3.066025421888301, 3.087636570900986, 3.119821254272374, 3.149443720879171, 3.1867680439029655, 3.2155397864729984, 3.2593187110516517, 3.3007113962098766, 3.362859302958684, 3.4161048149119044, 3.4556133561956197, 3.4990790499766087, 3.522560145826233, 3.5875009527592785, 3.7778326509296356, 3.9996814005458954, 4.300711396209876, 5.078862646593479]"
"Model_GRU(
  (rnn): GRU(1, 4, batch_first=True)
  (fc): Linear(in_features=4, out_features=1, bias=True)
)",89,11204.0,"[0.9975109518120271, 0.9956192751891677, 0.9950219036240542, 0.9944743130227002, 0.993926722421346, 0.9935284747112704, 0.9933293508562325, 0.9932297889287136, 0.9930804460374353, 0.9930804460374353, 0.9930804460374353, 0.992931103146157, 0.992831541218638, 0.9927817602548785, 0.9926821983273596, 0.9925826363998407, 0.9925826363998407, 0.9924830744723218, 0.9922839506172839, 0.9922341696535245, 0.9919354838709677, 0.9916865790521705, 0.9914376742333731, 0.991089207487057, 0.9908403026682596, 0.9907905217045002, 0.9905913978494624, 0.9903922739944245, 0.9901433691756273, 0.9900438072481084, 0.9899442453205894, 0.9898944643568299, 0.9898446833930705, 0.9897451214655516, 0.9897451214655516, 0.9896455595380327, 0.9896455595380327, 0.9895957785742732, 0.9895957785742732, 0.9894464356829948, 0.9893966547192353, 0.9893468737554759, 0.9893468737554759, 0.989247311827957, 0.989247311827957, 0.9890979689366786, 0.9890979689366786, 0.9889984070091598, 0.9888490641178813, 0.9887992831541219, 0.9886499402628435, 0.9886001592990841, 0.9884508164078056, 0.9882516925527678, 0.9882019115890084, 0.9881521306252489, 0.98805256869773, 0.9880027877339705, 0.987953006770211, 0.9879032258064516, 0.9877538829151732, 0.9876543209876543, 0.9876045400238949, 0.987405416168857, 0.9873058542413381, 0.9870569494225409, 0.986857825567503, 0.9867582636399841, 0.9865591397849462, 0.9864097968936678, 0.9863600159299084, 0.9862604540023895, 0.9861111111111112, 0.9860613301473516, 0.9859119872560733, 0.985663082437276, 0.9853643966547192, 0.9851652727996814, 0.9847172441258463, 0.9846176821983273, 0.9843687773795301, 0.9841198725607327, 0.9839705296694544, 0.9836220629231381, 0.9831242532855436, 0.9829251294305058, 0.9825268817204301, 0.9821784149741138, 0.9817801672640383, 0.9813321385902031, 0.9808343289526085, 0.9801871764237355, 0.9798387096774194, 0.9791915571485464, 0.9781959378733572, 0.9770011947431302, 0.9754082039028276, 0.9730187176423736, 0.9685384309040223, 0.9418060533651932]","[0.592616410020424, 1.3603609577262046, 1.5455991298147647, 1.6534914801545373, 1.7392124889797946, 1.8026306886716463, 1.8605897930220325, 1.9077214955650958, 1.9520820695814687, 1.9917914406869452, 2.0242495920365915, 2.05355678132871, 2.081476262196164, 2.11084693259984, 2.13437997444331, 2.1530350719687403, 2.1768597552427473, 2.2014913007237054, 2.2197243492989456, 2.2356298684954705, 2.2573491181887078, 2.272682672609594, 2.296390022427196, 2.3176868334377505, 2.3369235688642793, 2.356228724059664, 2.3687452814816643, 2.3833809701032838, 2.3958156083546265, 2.4132816555755316, 2.4246861047155233, 2.443378899778568, 2.460814549881388, 2.4768026552655242, 2.490030920999278, 2.5071538147847887, 2.5189560215573676, 2.5261944304812864, 2.5347946022432004, 2.5499459463158196, 2.5696601242623784, 2.5778033843757293, 2.587500952759204, 2.595989062984722, 2.6046463825172195, 2.619470158834249, 2.6255443065464483, 2.630156326688396, 2.6332584433198916, 2.644293742559286, 2.655616772656672, 2.672322466159531, 2.6861656933338116, 2.6932563729951724, 2.709646789183328, 2.720927799593016, 2.740406152988871, 2.7566433518595734, 2.7692324791675933, 2.788828035230958, 2.80240084242023, 2.828442644284583, 2.853553364867623, 2.864018798545799, 2.877465522273014, 2.894171215775865, 2.9056763781812007, 2.9205001544982303, 2.951757848228684, 2.968272936294249, 2.9819526335854096, 3.0069806392873786, 3.0181648062398665, 3.061829307294703, 3.078862646593501, 3.105734792993801, 3.124620137154131, 3.1343799744433296, 3.1867680439029655, 3.2038013832017818, 3.2155397864729984, 3.240013555856223, 3.246353733887227, 3.2593187110516517, 3.2726826726096028, 3.330674619587251, 3.354586776992713, 3.397621409217933, 3.445394191013956, 3.4768026552655096, 3.5473837295512083, 3.573712668273494, 3.6317046152512322, 3.7171348105758852, 3.823590141490214, 3.9027713875376464, 4.233764606579401, 5.078862646594484, 5.078862646593479, 5.078862646593479]"
"Model_GRU(
  (rnn): GRU(1, 6, num_layers=2, batch_first=True)
  (fc): Linear(in_features=6, out_features=1, bias=True)
)",421,49806.0,"[0.9970131421744325, 0.9957188371166866, 0.9950716845878136, 0.994573874950219, 0.9941258462763839, 0.9940760653126245, 0.9937773795300677, 0.9937275985663082, 0.9936778176025488, 0.9935782556750299, 0.9934289127837514, 0.9933293508562325, 0.9931800079649542, 0.9929808841099164, 0.9927319792911191, 0.9926324173636002, 0.9925328554360813, 0.9925328554360813, 0.9923835125448028, 0.9922341696535245, 0.9921346077260056, 0.9920350457984867, 0.9919852648347272, 0.9919852648347272, 0.9919354838709677, 0.9918359219434488, 0.9916865790521705, 0.9915870171246516, 0.9915372361608921, 0.9913878932696137, 0.9911389884508164, 0.9909896455595381, 0.9908403026682596, 0.9907905217045002, 0.9907407407407407, 0.9906411788132218, 0.9904420549581839, 0.9903922739944245, 0.9902927120669056, 0.9901433691756273, 0.9900935882118678, 0.9900935882118678, 0.9899442453205894, 0.9899442453205894, 0.9898446833930705, 0.989794902429311, 0.9896953405017921, 0.9895459976105138, 0.9894962166467542, 0.9894464356829948, 0.9892970927917164, 0.9891975308641975, 0.9890481879729192, 0.9889984070091598, 0.9889984070091598, 0.9888988450816408, 0.9887992831541219, 0.9886001592990841, 0.9886001592990841, 0.9885005973715651, 0.9884508164078056, 0.9883512544802867, 0.9881521306252489, 0.98805256869773, 0.987953006770211, 0.9878534448426921, 0.9877041019514138, 0.9875049780963759, 0.9874551971326165, 0.9874551971326165, 0.9873058542413381, 0.9870071684587813, 0.9869573874950219, 0.9867084826762246, 0.9864595778574273, 0.9863600159299084, 0.9862106730386301, 0.9858622062923138, 0.9857626443647949, 0.9856133014735166, 0.9854141776184787, 0.9851652727996814, 0.9849661489446435, 0.9846176821983273, 0.984468339307049, 0.9843189964157706, 0.9842692154520112, 0.983821186778176, 0.9835722819593787, 0.9833731581043409, 0.983174034249303, 0.9826762246117084, 0.982078853046595, 0.9811827956989247, 0.9801373954599761, 0.9793906810035843, 0.9782954998008762, 0.9767522899243329, 0.9734667463162087, 0.9522102747909199]","[1.1629354348963632, 2.0208164161981954, 2.2463537338872444, 2.3985271331789186, 2.4922753419217254, 2.5778033843757293, 2.6426999995527325, 2.709646789183328, 2.752526785664723, 2.809349702375573, 2.8561461754458963, 2.8720367705616288, 2.9027713875378005, 2.9358478463393904, 2.9550110056263983, 2.968272936294249, 2.999681400545847, 3.0335396678068367, 3.078862646593501, 3.1011390413046014, 3.1393433939748685, 3.170377627714835, 3.181235555303018, 3.209630926862492, 3.2527878438926217, 3.2795220971398926, 3.30801063495136, 3.338499957099189, 3.354586776992713, 3.354586776992713, 3.354586776992713, 3.3712924704955274, 3.3712924704955274, 3.3798926422574245, 3.388666566564908, 3.4161048149119044, 3.425650132818112, 3.445394191013956, 3.466078789873761, 3.4768026552655096, 3.4768026552655096, 3.487798039566947, 3.4990790499766087, 3.5106609225265513, 3.522560145826233, 3.534794602243217, 3.5473837295512083, 3.573712668273494, 3.5875009527592785, 3.6474988824344257, 3.663889298622554, 3.663889298622554, 3.663889298622554, 3.680922637921521, 3.698651404881914, 3.7364399657712264, 3.7778326509296356, 3.7778326509296356, 3.7778326509296356, 3.823590141490214, 3.823590141490214, 3.823590141490214, 3.823590141490214, 3.8484137252151895, 3.8484137252151895, 3.8484137252151895, 3.8484137252151895, 3.8484137252151895, 3.8484137252151895, 3.93273461091542, 3.9996814005458954, 4.037469961435208, 4.037469961435208, 4.037469961435208, 4.078862646593327, 4.078862646593327, 4.078862646593327, 4.300711396209876, 4.300711396209876, 4.300711396209876, 4.379892642257309, 4.476802655265076, 4.476802655265076, 4.476802655265076, 4.601741391872894, 4.7778326509305025, 4.7778326509305025, 4.7778326509305025, 5.078862646594484, 5.078862646593479, 5.078862646593479, 5.078862646593479, 5.078862646593479, 5.078862646593479, 5.078862646593479, 5.078862646593479, 5.078862646593479, 5.078862646593479, 5.078862646593479, 5.078862646593479]"
