Model,Parameters,ns,nr,FLOPS
"Model_GRU(
  (rnn): GRU(5, 2, num_layers=2, batch_first=True)
  (fc): Linear(in_features=2, out_features=1, bias=True)
)",93,"[0.9993467  0.9973868  0.99636601 0.99603936 0.99546772 0.99489608
 0.99456943 0.9939978  0.99363031 0.99338533 0.99305867 0.99277286
 0.9924462  0.99220122 0.99171124 0.99167041 0.99146625 0.99134376
 0.9911396  0.99081295 0.99032298 0.99015965 0.98999633 0.989833
 0.98966967 0.98942469 0.9891797  0.9890572  0.98893471 0.98877139
 0.98864889 0.98856723 0.9885264  0.98836307 0.98811808 0.98795476
 0.98779143 0.98754645 0.98742395 0.98738312 0.9872198  0.98701564
 0.98685231 0.98668899 0.98648483 0.98615818 0.98591319 0.9857907
 0.98558654 0.98550488 0.98534155 0.98509657 0.98493324 0.98476992
 0.98452493 0.98440243 0.98427994 0.98419828 0.98403495 0.98362664
 0.98350414 0.98329999 0.98309583 0.98293251 0.98260586 0.98248336
 0.9822792  0.98219754 0.98191172 0.98170757 0.98138092 0.98105426
 0.98076845 0.98056429 0.98015598 0.97987016 0.979666   0.97938018
 0.9790127  0.97864522 0.9783594  0.97807358 0.97774693 0.97746111
 0.97701196 0.97635866 0.97599118 0.97521539 0.97472541 0.97411294
 0.97350047 0.97280634 0.97166306 0.97056061 0.96921318 0.96733494
 0.96517088 0.96161855 0.95422808 0.90453636]","[0.81630072 1.54681568 1.78176262 1.92663576 2.04556458 2.13259555
 2.19866916 2.27571853 2.32846898 2.38440752 2.42358173 2.45478207
 2.49213286 2.52241767 2.55410771 2.58456557 2.61333732 2.63886137
 2.65492835 2.67388645 2.6949048  2.71448195 2.74695555 2.77624493
 2.80302499 2.81864878 2.83817092 2.8516909  2.87460018 2.88559557
 2.90845845 2.93052897 2.95814624 2.98065358 3.01676532 3.03996758
 3.05615434 3.07296784 3.09045857 3.11809086 3.13095978 3.14422172
 3.16138974 3.18662556 3.19790657 3.2055934  3.2419742  3.25049005
 3.27708782 3.31032875 3.33053214 3.33573333 3.34632641 3.38557971
 3.41596233 3.44863145 3.47666018 3.49893657 3.5066234  3.5066234
 3.51444874 3.53880808 3.55584142 3.58271357 3.61135875 3.61135875
 3.63156214 3.64202757 3.6866097  3.72333251 3.74966145 3.74966145
 3.79241343 3.80765339 3.82344766 3.82344766 3.89308359 3.95378143
 3.95378143 3.97605782 3.99953892 3.99953892 4.0243625  4.07872017
 4.14086807 4.17563018 4.21341874 4.35172144 4.35172144 4.35172144
 4.40971339 4.40971339 4.40971339 4.40971339 4.55584142 4.65275143
 4.95378143 5.25481143 5.25481143 5.25481143]",11810
"Model_GRU(
  (rnn): GRU(5, 3, batch_first=True)
  (fc): Linear(in_features=3, out_features=1, bias=True)
)",94,"[0.99918337 0.99534523 0.99440611 0.99383447 0.99314034 0.99252787
 0.99211955 0.9917929  0.99138459 0.99109877 0.99077212 0.99040464
 0.99020048 0.98991466 0.98950635 0.98913887 0.98877139 0.9885264
 0.98832224 0.98803642 0.98779143 0.98762811 0.98754645 0.98734229
 0.98717896 0.98697481 0.98668899 0.98632151 0.98611735 0.98595402
 0.98591319 0.98587236 0.98570904 0.98558654 0.98554571 0.98530072
 0.9851374  0.98509657 0.98493324 0.9844841  0.98423911 0.98391246
 0.98374913 0.98354498 0.98342248 0.98338165 0.98325916 0.98317749
 0.98309583 0.98289167 0.98276918 0.98268752 0.98256502 0.98223837
 0.98203422 0.9817484  0.98154424 0.98125842 0.98105426 0.98093177
 0.98056429 0.98027847 0.97995182 0.97974766 0.97938018 0.97917602
 0.9790127  0.97872688 0.97844106 0.97799192 0.97766526 0.97725695
 0.97684864 0.97672614 0.97656282 0.97595035 0.9756237  0.97525622
 0.9748479  0.97472541 0.97423543 0.97370463 0.97321465 0.97268384
 0.9722347  0.97162223 0.9708056  0.97011147 0.96925401 0.96823323
 0.96749826 0.96668164 0.96517088 0.96361929 0.96145523 0.95929117
 0.95569801 0.94985913 0.94026377 0.85949941]","[0.71287042 1.76682509 1.99236034 2.13588567 2.23032576 2.29339033
 2.36104966 2.40971339 2.44525171 2.48469613 2.5168241  2.54894771
 2.58271357 2.61432999 2.64843006 2.67617222 2.69610286 2.71573533
 2.73761553 2.76909    2.78942857 2.81076663 2.82344766 2.84657146
 2.87823447 2.88559557 2.89119945 2.92035767 2.93052897 2.94731539
 2.95814624 2.9670097  2.98296982 2.9899936  3.00929876 3.01177338
 3.02692472 3.04529641 3.06447973 3.08162516 3.09644893 3.10868339
 3.12127252 3.13754013 3.14086807 3.14760146 3.15790141 3.1684516
 3.17926446 3.18292942 3.19035344 3.20948845 3.21738493 3.22138767
 3.23362213 3.24621125 3.25481143 3.26803969 3.28632848 3.29577003
 3.30542142 3.31032875 3.33053214 3.34632641 3.36271682 3.37975016
 3.39747893 3.43526749 3.44189807 3.44863145 3.46241974 3.49138343
 3.5066234  3.54724125 3.56461535 3.58271357 3.58271357 3.60159891
 3.62134297 3.64202757 3.67502783 3.69850892 3.73629749 3.74966145
 3.76344973 3.77769017 3.80765339 3.85687142 3.87460018 3.87460018
 3.89308359 3.97605782 4.0243625  4.0243625  4.10868339 4.25481143
 4.40971339 4.65275143 4.95378143 5.25481143]",11115
"Model_GRU(
  (rnn): GRU(5, 6, batch_first=True)
  (fc): Linear(in_features=6, out_features=1, bias=True)
)",241,"[0.99979584 0.99951002 0.99951002 0.99942836 0.99926504 0.99906088
 0.99893839 0.99889755 0.99885672 0.99881589 0.99873423 0.99865257
 0.99861173 0.9985709  0.99853007 0.99853007 0.99848924 0.99848924
 0.99844841 0.99836675 0.99836675 0.99832592 0.99820342 0.99812176
 0.99808093 0.99808093 0.9980401  0.9980401  0.99795843 0.9979176
 0.99787677 0.99783594 0.99775428 0.99771345 0.99755012 0.99746846
 0.99746846 0.99746846 0.99742763 0.99734596 0.9972643  0.9972643
 0.9972643  0.9972643  0.9972643  0.99710098 0.99701931 0.99697848
 0.99693765 0.99689682 0.99689682 0.99681516 0.99677433 0.99673349
 0.99669266 0.99657017 0.99657017 0.99652934 0.99644767 0.99640684
 0.99628435 0.99624352 0.99620269 0.99608019 0.99599853 0.99591687
 0.9958352  0.99571271 0.99559022 0.99559022 0.99546772 0.99534523
 0.9953044  0.99522273 0.99497775 0.99481442 0.99473276 0.99448777
 0.99432445 0.99416112 0.99416112 0.99407946 0.99383447 0.99379364
 0.99350782 0.99338533 0.99305867 0.99277286 0.99252787 0.99216039
 0.9917929  0.99109877 0.99064963 0.98991466 0.98913887 0.98758728
 0.98603569 0.98248336 0.97460292 0.90184149]","[0.89138749 1.61373411 1.81658562 1.92602423 2.01551195 2.08279262
 2.13588567 2.18551341 2.22827816 2.26536161 2.30250342 2.33678109
 2.3683207  2.39447342 2.41345196 2.44256673 2.46593631 2.48914287
 2.51130166 2.53548014 2.55410771 2.57629305 2.59584658 2.61135875
 2.63781108 2.65492835 2.6704802  2.68543752 2.70214321 2.711986
 2.72461173 2.7456089  2.75650087 2.77769017 2.79541894 2.80765339
 2.82505915 2.8332075  2.8551377  2.8674216  2.87641352 2.89119945
 2.90262891 2.91835169 2.93466514 2.94946006 2.9670097  2.97377806
 2.99236034 3.00195839 3.01676532 3.02950214 3.04798555 3.06168683
 3.07583448 3.09644893 3.12127252 3.14086807 3.1684516  3.19035344
 3.20948845 3.23362213 3.2419742  3.26803969 3.28632848 3.31032875
 3.33573333 3.36271682 3.37975016 3.37975016 3.39148857 3.41596233
 3.42873662 3.44863145 3.48395941 3.5066234  3.53880808 3.57357019
 3.61135875 3.64202757 3.69850892 3.73629749 3.73629749 3.76344973
 3.80765339 3.83983808 3.89308359 3.97605782 3.99953892 4.07872017
 4.17563018 4.17563018 4.21341874 4.30056892 4.47666018 4.47666018
 4.77769017 5.25481143 5.25481143 5.25481143]",27630
"Model_GRU(
  (rnn): GRU(5, 10, batch_first=True)
  (fc): Linear(in_features=10, out_features=1, bias=True)
)",521,"[0.99979584 0.99946919 0.99918337 0.99902005 0.99893839 0.99889755
 0.99877506 0.99877506 0.99877506 0.9986934  0.9986934  0.9986934
 0.99861173 0.99848924 0.99836675 0.99836675 0.99832592 0.99828508
 0.99824425 0.99816259 0.99816259 0.99816259 0.99816259 0.99812176
 0.99812176 0.99812176 0.99812176 0.9980401  0.99799927 0.99799927
 0.99795843 0.99795843 0.99795843 0.9979176  0.99787677 0.99787677
 0.99783594 0.99783594 0.99783594 0.99783594 0.99783594 0.99779511
 0.99779511 0.99775428 0.99771345 0.99771345 0.99771345 0.99763178
 0.99763178 0.99763178 0.99763178 0.99759095 0.99759095 0.99755012
 0.99755012 0.99742763 0.99742763 0.9973868  0.99734596 0.99734596
 0.99734596 0.99730513 0.99722347 0.99718264 0.99714181 0.99714181
 0.99710098 0.99710098 0.99710098 0.99710098 0.99701931 0.99701931
 0.99693765 0.99693765 0.99689682 0.99685599 0.99685599 0.99685599
 0.99681516 0.99673349 0.99669266 0.99657017 0.99652934 0.99652934
 0.99640684 0.99636601 0.99632518 0.99620269 0.99612102 0.9959577
 0.99579437 0.99567188 0.99546772 0.99526357 0.99489608 0.99432445
 0.99354865 0.99273202 0.9906088  0.97260218]","[1.81896706 2.53630974 2.70826876 2.81390234 2.88374356 2.93466514
 2.99236034 3.03996758 3.05891177 3.07872017 3.11179663 3.14086807
 3.16138974 3.17563018 3.17563018 3.19411359 3.2055934  3.21738493
 3.24621125 3.25481143 3.27254019 3.2910236  3.31529217 3.33053214
 3.34099757 3.35172144 3.37399783 3.38557971 3.39747893 3.41596233
 3.42873662 3.43526749 3.46948159 3.49138343 3.52241767 3.52241767
 3.53053556 3.53053556 3.54724125 3.55584142 3.58271357 3.58271357
 3.58271357 3.58271357 3.59205359 3.59205359 3.59205359 3.59205359
 3.60159891 3.60159891 3.62134297 3.65275143 3.67502783 3.69850892
 3.71074338 3.71074338 3.72333251 3.73629749 3.73629749 3.74966145
 3.74966145 3.76344973 3.76344973 3.76344973 3.77769017 3.79241343
 3.79241343 3.80765339 3.80765339 3.82344766 3.83983808 3.85687142
 3.85687142 3.89308359 3.89308359 3.93259213 3.93259213 3.95378143
 3.97605782 4.05069144 4.07872017 4.07872017 4.10868339 4.14086807
 4.14086807 4.14086807 4.14086807 4.14086807 4.14086807 4.14086807
 4.14086807 4.14086807 4.21341874 4.25481143 4.30056892 4.47666018
 4.55584142 4.55584142 4.65275143 5.25481143]",58050
